round,phase,active_task,client_id,client_main,attack,fast_recall
10,1,Fuzzy,3,gear,DoS,0.0
10,1,Fuzzy,3,gear,Fuzzy,0.818109610802224
10,1,Fuzzy,3,gear,RPM,0.0
10,1,Fuzzy,3,gear,gear,0.0
11,1,Fuzzy,0,DoS,DoS,0.0
11,1,Fuzzy,0,DoS,Fuzzy,0.8895949166004765
11,1,Fuzzy,0,DoS,RPM,0.0
11,1,Fuzzy,0,DoS,gear,0.0
11,1,Fuzzy,1,Fuzzy,DoS,0.0
11,1,Fuzzy,1,Fuzzy,Fuzzy,0.9483717235901509
11,1,Fuzzy,1,Fuzzy,RPM,0.0
11,1,Fuzzy,1,Fuzzy,gear,0.0
11,1,Fuzzy,2,RPM,DoS,0.0
11,1,Fuzzy,2,RPM,Fuzzy,0.8625893566322478
11,1,Fuzzy,2,RPM,RPM,0.0
11,1,Fuzzy,2,RPM,gear,0.0
11,1,Fuzzy,3,gear,DoS,0.0
11,1,Fuzzy,3,gear,Fuzzy,0.8776806989674345
11,1,Fuzzy,3,gear,RPM,0.0
11,1,Fuzzy,3,gear,gear,0.0
12,1,Fuzzy,0,DoS,DoS,0.0
12,1,Fuzzy,0,DoS,Fuzzy,0.9038919777601271
12,1,Fuzzy,0,DoS,RPM,0.0
12,1,Fuzzy,0,DoS,gear,0.0
12,1,Fuzzy,1,Fuzzy,DoS,0.0
12,1,Fuzzy,1,Fuzzy,Fuzzy,0.9682287529785544
12,1,Fuzzy,1,Fuzzy,RPM,0.0
12,1,Fuzzy,1,Fuzzy,gear,0.0
12,1,Fuzzy,2,RPM,DoS,0.0
12,1,Fuzzy,2,RPM,Fuzzy,0.9197776012708498
12,1,Fuzzy,2,RPM,RPM,0.0
12,1,Fuzzy,2,RPM,gear,0.0
12,1,Fuzzy,3,gear,DoS,0.0
12,1,Fuzzy,3,gear,Fuzzy,0.9142176330420969
12,1,Fuzzy,3,gear,RPM,0.0
12,1,Fuzzy,3,gear,gear,0.0
13,1,Fuzzy,0,DoS,DoS,0.0
13,1,Fuzzy,0,DoS,Fuzzy,0.9237490071485306
13,1,Fuzzy,0,DoS,RPM,0.0
13,1,Fuzzy,0,DoS,gear,0.0
13,1,Fuzzy,1,Fuzzy,DoS,0.0
13,1,Fuzzy,1,Fuzzy,Fuzzy,0.9690230341540905
13,1,Fuzzy,1,Fuzzy,RPM,0.0
13,1,Fuzzy,1,Fuzzy,gear,0.0
13,1,Fuzzy,2,RPM,DoS,0.0
13,1,Fuzzy,2,RPM,Fuzzy,0.9150119142176331
13,1,Fuzzy,2,RPM,RPM,0.0
13,1,Fuzzy,2,RPM,gear,0.0
13,1,Fuzzy,3,gear,DoS,0.0
13,1,Fuzzy,3,gear,Fuzzy,0.9301032565528197
13,1,Fuzzy,3,gear,RPM,0.0
13,1,Fuzzy,3,gear,gear,0.0
14,1,Fuzzy,0,DoS,DoS,0.0
14,1,Fuzzy,0,DoS,Fuzzy,0.9404289118347895
14,1,Fuzzy,0,DoS,RPM,0.0
14,1,Fuzzy,0,DoS,gear,0.0
14,1,Fuzzy,1,Fuzzy,DoS,0.0
14,1,Fuzzy,1,Fuzzy,Fuzzy,0.9706115965051628
14,1,Fuzzy,1,Fuzzy,RPM,0.0
14,1,Fuzzy,1,Fuzzy,gear,0.0
14,1,Fuzzy,2,RPM,DoS,0.0
14,1,Fuzzy,2,RPM,Fuzzy,0.937251787132645
14,1,Fuzzy,2,RPM,RPM,0.0
14,1,Fuzzy,2,RPM,gear,0.0
14,1,Fuzzy,3,gear,DoS,0.0
14,1,Fuzzy,3,gear,Fuzzy,0.9444003177124702
14,1,Fuzzy,3,gear,RPM,0.0
14,1,Fuzzy,3,gear,gear,0.0
15,2,RPM,0,DoS,DoS,0.0
15,2,RPM,0,DoS,Fuzzy,0.8157267672756155
15,2,RPM,0,DoS,RPM,1.0
15,2,RPM,0,DoS,gear,0.0
15,2,RPM,1,Fuzzy,DoS,0.0
15,2,RPM,1,Fuzzy,Fuzzy,0.8038125496425734
15,2,RPM,1,Fuzzy,RPM,1.0
15,2,RPM,1,Fuzzy,gear,0.0
15,2,RPM,2,RPM,DoS,0.0
15,2,RPM,2,RPM,Fuzzy,0.767275615567911
15,2,RPM,2,RPM,RPM,1.0
15,2,RPM,2,RPM,gear,0.0
15,2,RPM,3,gear,DoS,0.0
15,2,RPM,3,gear,Fuzzy,0.812549642573471
15,2,RPM,3,gear,RPM,1.0
15,2,RPM,3,gear,gear,0.0
16,2,RPM,0,DoS,DoS,0.0
16,2,RPM,0,DoS,Fuzzy,0.5996822875297856
16,2,RPM,0,DoS,RPM,1.0
16,2,RPM,0,DoS,gear,0.0
16,2,RPM,1,Fuzzy,DoS,0.0
16,2,RPM,1,Fuzzy,Fuzzy,0.5996822875297856
16,2,RPM,1,Fuzzy,RPM,1.0
16,2,RPM,1,Fuzzy,gear,0.0
16,2,RPM,2,RPM,DoS,0.0
16,2,RPM,2,RPM,Fuzzy,0.5289912629070691
16,2,RPM,2,RPM,RPM,1.0
16,2,RPM,2,RPM,gear,0.0
16,2,RPM,3,gear,DoS,0.0
16,2,RPM,3,gear,Fuzzy,0.6179507545671168
16,2,RPM,3,gear,RPM,1.0
16,2,RPM,3,gear,gear,0.0
17,2,RPM,0,DoS,DoS,0.0
17,2,RPM,0,DoS,Fuzzy,0.4249404289118348
17,2,RPM,0,DoS,RPM,1.0
17,2,RPM,0,DoS,gear,0.0
17,2,RPM,1,Fuzzy,DoS,0.0
17,2,RPM,1,Fuzzy,Fuzzy,0.43208895949166004
17,2,RPM,1,Fuzzy,RPM,1.0
17,2,RPM,1,Fuzzy,gear,0.0
17,2,RPM,2,RPM,DoS,0.0
17,2,RPM,2,RPM,Fuzzy,0.3836378077839555
17,2,RPM,2,RPM,RPM,1.0
17,2,RPM,2,RPM,gear,0.0
17,2,RPM,3,gear,DoS,0.0
17,2,RPM,3,gear,Fuzzy,0.41223193010325654
17,2,RPM,3,gear,RPM,1.0
17,2,RPM,3,gear,gear,0.0
18,2,RPM,0,DoS,DoS,0.0
18,2,RPM,0,DoS,Fuzzy,0.31850675138999207
18,2,RPM,0,DoS,RPM,1.0
18,2,RPM,0,DoS,gear,0.0
18,2,RPM,1,Fuzzy,DoS,0.0
18,2,RPM,1,Fuzzy,Fuzzy,0.32406671961874506
18,2,RPM,1,Fuzzy,RPM,1.0
18,2,RPM,1,Fuzzy,gear,0.0
18,2,RPM,2,RPM,DoS,0.0
18,2,RPM,2,RPM,Fuzzy,0.28276409849086576
18,2,RPM,2,RPM,RPM,1.0
18,2,RPM,2,RPM,gear,0.0
18,2,RPM,3,gear,DoS,0.0
18,2,RPM,3,gear,Fuzzy,0.3018268467037331
18,2,RPM,3,gear,RPM,1.0
18,2,RPM,3,gear,gear,0.0
19,2,RPM,0,DoS,DoS,0.0
19,2,RPM,0,DoS,Fuzzy,0.2748212867355044
19,2,RPM,0,DoS,RPM,1.0
19,2,RPM,0,DoS,gear,0.0
19,2,RPM,1,Fuzzy,DoS,0.0
19,2,RPM,1,Fuzzy,Fuzzy,0.28594122319301035
19,2,RPM,1,Fuzzy,RPM,1.0
19,2,RPM,1,Fuzzy,gear,0.0
19,2,RPM,2,RPM,DoS,0.0
19,2,RPM,2,RPM,Fuzzy,0.25893566322478156
19,2,RPM,2,RPM,RPM,1.0
19,2,RPM,2,RPM,gear,0.0
19,2,RPM,3,gear,DoS,0.0
19,2,RPM,3,gear,Fuzzy,0.26608419380460685
19,2,RPM,3,gear,RPM,1.0
19,2,RPM,3,gear,gear,0.0
20,2,RPM,0,DoS,DoS,0.0
20,2,RPM,0,DoS,Fuzzy,0.24702144559173947
20,2,RPM,0,DoS,RPM,1.0
20,2,RPM,0,DoS,gear,0.0
20,2,RPM,1,Fuzzy,DoS,0.0
20,2,RPM,1,Fuzzy,Fuzzy,0.2541699761715647
20,2,RPM,1,Fuzzy,RPM,1.0
20,2,RPM,1,Fuzzy,gear,0.0
20,2,RPM,2,RPM,DoS,0.0
20,2,RPM,2,RPM,Fuzzy,0.2509928514694202
20,2,RPM,2,RPM,RPM,1.0
20,2,RPM,2,RPM,gear,0.0
20,2,RPM,3,gear,DoS,0.0
20,2,RPM,3,gear,Fuzzy,0.24622716441620335
20,2,RPM,3,gear,RPM,1.0
20,2,RPM,3,gear,gear,0.0
21,2,RPM,0,DoS,DoS,0.0
21,2,RPM,0,DoS,Fuzzy,0.2390786338363781
21,2,RPM,0,DoS,RPM,1.0
21,2,RPM,0,DoS,gear,0.0
21,2,RPM,1,Fuzzy,DoS,0.0
21,2,RPM,1,Fuzzy,Fuzzy,0.24305003971405878
21,2,RPM,1,Fuzzy,RPM,1.0
21,2,RPM,1,Fuzzy,gear,0.0
21,2,RPM,2,RPM,DoS,0.0
21,2,RPM,2,RPM,Fuzzy,0.2398729150119142
21,2,RPM,2,RPM,RPM,1.0
21,2,RPM,2,RPM,gear,0.0
21,2,RPM,3,gear,DoS,0.0
21,2,RPM,3,gear,Fuzzy,0.2374900714853058
21,2,RPM,3,gear,RPM,1.0
21,2,RPM,3,gear,gear,0.0
22,3,gear,0,DoS,DoS,0.0
22,3,gear,0,DoS,Fuzzy,0.409054805401112
22,3,gear,0,DoS,RPM,1.0
22,3,gear,0,DoS,gear,1.0
22,3,gear,1,Fuzzy,DoS,0.0
22,3,gear,1,Fuzzy,Fuzzy,0.40826052422557585
22,3,gear,1,Fuzzy,RPM,1.0
22,3,gear,1,Fuzzy,gear,1.0
22,3,gear,2,RPM,DoS,0.0
22,3,gear,2,RPM,Fuzzy,0.409054805401112
22,3,gear,2,RPM,RPM,1.0
22,3,gear,2,RPM,gear,1.0
22,3,gear,3,gear,DoS,0.0
22,3,gear,3,gear,Fuzzy,0.28832406671961874
22,3,gear,3,gear,RPM,1.0
22,3,gear,3,gear,gear,1.0
23,3,gear,0,DoS,DoS,0.0
23,3,gear,0,DoS,Fuzzy,0.24861000794281177
23,3,gear,0,DoS,RPM,1.0
23,3,gear,0,DoS,gear,1.0
23,3,gear,1,Fuzzy,DoS,0.0
23,3,gear,1,Fuzzy,Fuzzy,0.25019857029388404
23,3,gear,1,Fuzzy,RPM,1.0
23,3,gear,1,Fuzzy,gear,1.0
23,3,gear,2,RPM,DoS,0.0
23,3,gear,2,RPM,Fuzzy,0.25258141382049243
23,3,gear,2,RPM,RPM,1.0
23,3,gear,2,RPM,gear,1.0
23,3,gear,3,gear,DoS,0.0
23,3,gear,3,gear,Fuzzy,0.12231930103256553
23,3,gear,3,gear,RPM,1.0
23,3,gear,3,gear,gear,1.0
24,3,gear,0,DoS,DoS,0.0
24,3,gear,0,DoS,Fuzzy,0.13820492454328834
24,3,gear,0,DoS,RPM,1.0
24,3,gear,0,DoS,gear,1.0
24,3,gear,1,Fuzzy,DoS,0.0
24,3,gear,1,Fuzzy,Fuzzy,0.1397934868943606
24,3,gear,1,Fuzzy,RPM,1.0
24,3,gear,1,Fuzzy,gear,1.0
24,3,gear,2,RPM,DoS,0.0
24,3,gear,2,RPM,Fuzzy,0.13899920571882446
24,3,gear,2,RPM,RPM,1.0
24,3,gear,2,RPM,gear,1.0
24,3,gear,3,gear,DoS,0.0
24,3,gear,3,gear,Fuzzy,0.06036536934074663
24,3,gear,3,gear,RPM,1.0
24,3,gear,3,gear,gear,1.0
25,3,gear,0,DoS,DoS,0.0
25,3,gear,0,DoS,Fuzzy,0.07227958697378872
25,3,gear,0,DoS,RPM,1.0
25,3,gear,0,DoS,gear,1.0
25,3,gear,1,Fuzzy,DoS,0.0
25,3,gear,1,Fuzzy,Fuzzy,0.07227958697378872
25,3,gear,1,Fuzzy,RPM,1.0
25,3,gear,1,Fuzzy,gear,1.0
25,3,gear,2,RPM,DoS,0.0
25,3,gear,2,RPM,Fuzzy,0.06910246227164417
25,3,gear,2,RPM,RPM,1.0
25,3,gear,2,RPM,gear,1.0
25,3,gear,3,gear,DoS,0.0
25,3,gear,3,gear,Fuzzy,0.03653693407466243
25,3,gear,3,gear,RPM,1.0
25,3,gear,3,gear,gear,1.0
26,3,gear,0,DoS,DoS,0.0
26,3,gear,0,DoS,Fuzzy,0.043685464654487687
26,3,gear,0,DoS,RPM,1.0
26,3,gear,0,DoS,gear,1.0
26,3,gear,1,Fuzzy,DoS,0.0
26,3,gear,1,Fuzzy,Fuzzy,0.04050833995234313
26,3,gear,1,Fuzzy,RPM,1.0
26,3,gear,1,Fuzzy,gear,1.0
26,3,gear,2,RPM,DoS,0.0
26,3,gear,2,RPM,Fuzzy,0.03891977760127085
26,3,gear,2,RPM,RPM,1.0
26,3,gear,2,RPM,gear,1.0
26,3,gear,3,gear,DoS,0.0
26,3,gear,3,gear,Fuzzy,0.023828435266084195
26,3,gear,3,gear,RPM,1.0
26,3,gear,3,gear,gear,1.0
27,3,gear,0,DoS,DoS,0.0
27,3,gear,0,DoS,Fuzzy,0.028594122319301033
27,3,gear,0,DoS,RPM,1.0
27,3,gear,0,DoS,gear,1.0
27,3,gear,1,Fuzzy,DoS,0.0
27,3,gear,1,Fuzzy,Fuzzy,0.028594122319301033
27,3,gear,1,Fuzzy,RPM,1.0
27,3,gear,1,Fuzzy,gear,1.0
27,3,gear,2,RPM,DoS,0.0
27,3,gear,2,RPM,Fuzzy,0.028594122319301033
27,3,gear,2,RPM,RPM,1.0
27,3,gear,2,RPM,gear,1.0
27,3,gear,3,gear,DoS,0.0
27,3,gear,3,gear,Fuzzy,0.021445591739475776
27,3,gear,3,gear,RPM,1.0
27,3,gear,3,gear,gear,1.0
28,3,gear,0,DoS,DoS,0.0
28,3,gear,0,DoS,Fuzzy,0.021445591739475776
28,3,gear,0,DoS,RPM,1.0
28,3,gear,0,DoS,gear,1.0
28,3,gear,1,Fuzzy,DoS,0.0
28,3,gear,1,Fuzzy,Fuzzy,0.021445591739475776
28,3,gear,1,Fuzzy,RPM,1.0
28,3,gear,1,Fuzzy,gear,1.0
28,3,gear,2,RPM,DoS,0.0
28,3,gear,2,RPM,Fuzzy,0.021445591739475776
28,3,gear,2,RPM,RPM,1.0
28,3,gear,2,RPM,gear,1.0
28,3,gear,3,gear,DoS,0.0
28,3,gear,3,gear,Fuzzy,0.012708498808578236
28,3,gear,3,gear,RPM,1.0
28,3,gear,3,gear,gear,1.0
29,3,gear,0,DoS,DoS,0.0
29,3,gear,0,DoS,Fuzzy,0.012708498808578236
29,3,gear,0,DoS,RPM,0.0
29,3,gear,0,DoS,gear,1.0
29,3,gear,1,Fuzzy,DoS,0.0
29,3,gear,1,Fuzzy,Fuzzy,0.012708498808578236
29,3,gear,1,Fuzzy,RPM,0.0
29,3,gear,1,Fuzzy,gear,1.0
29,3,gear,2,RPM,DoS,0.0
29,3,gear,2,RPM,Fuzzy,0.012708498808578236
29,3,gear,2,RPM,RPM,0.0
29,3,gear,2,RPM,gear,1.0
29,3,gear,3,gear,DoS,0.0
29,3,gear,3,gear,Fuzzy,0.010325655281969817
29,3,gear,3,gear,RPM,0.0
29,3,gear,3,gear,gear,1.0
30,3,gear,0,DoS,DoS,0.0
30,3,gear,0,DoS,Fuzzy,0.010325655281969817
30,3,gear,0,DoS,RPM,0.0
30,3,gear,0,DoS,gear,1.0
30,3,gear,1,Fuzzy,DoS,0.0
30,3,gear,1,Fuzzy,Fuzzy,0.011119936457505957
30,3,gear,1,Fuzzy,RPM,0.0
30,3,gear,1,Fuzzy,gear,1.0
30,3,gear,2,RPM,DoS,0.0
30,3,gear,2,RPM,Fuzzy,0.010325655281969817
30,3,gear,2,RPM,RPM,0.0
30,3,gear,2,RPM,gear,1.0
30,3,gear,3,gear,DoS,0.0
30,3,gear,3,gear,Fuzzy,0.007942811755361398
30,3,gear,3,gear,RPM,0.0
30,3,gear,3,gear,gear,1.0
